--------------------mechanism choloose--------------------
 Qinghai, propriety, Yellow_Crane_Tower, Earth, Bohai_Sea, province, input_device, Network_Layer, operator, green, ROM, right_atrium, nationalism, alliance_with_the_Communist_Party, Pekingman, Arabic, Wei wu, Africa, Pacific, Rwandan, Arabic French, Somali English, Yang_Jiong, cell_membrane, Song_Yang, core crust, Atmospheric, cytoplasm, roots, Guangzhou, Suzhou, blue, father elder_brothers, Shoulian, Sichuan, Qinghai, Ji_Kang Shan_Tao, You_Bao, Book_of_Changes, The_Analects, Han_Yu, circum-Pacific_seismic_belt Eurasian_seismic_belt, Pacific_Plate, Germany, the_emperor, Duke_Huan_of_Qi, Xiongnu, Guan_Hanqing, Xunzi, Yan,
 Sichuan, humanity, Tengwang_Pavilion, Jupiter, East_China_Sea, country, input_device, Network_Layer, controller, blue, ROM, right_atrium, people's_livelihood, alliance_with_the_Communist_Party, Shandingdongman, Arabic, Shu, South_America, Atlantic South_China_Sea, Jewish, English, Arabic English, Lu_Zhaolin Luo_Binwang, cytoplasm, Zhang_Chiyu, mantle, Hydrosphere Biosphere, nucleus, stems, Shanghai, Hangzhou, black, elder_brothers, Jinglian, Gansu, Yunnan, Ruan_Ji Shan_Tao, Yang_Wanli, Shu, Zhuangzi, Su_Shi Li_Bai, Eurasian_seismic_belt, Pacific_Plate, Austria, the_feudal_princes, Qin_Huan_Gong, Jie, Bai_Piao, Zhuangzi, Han,
 Qinghai, propriety, Yellow_Crane_Tower, Saturn Uranus, Yellow_Sea East_China_Sea, township, operator controller, Data_Link_Layer, controller, green, floppy_disk, right_atrium, democracy, assist_farmers_and_workers, Pekingman, English, wu, Europe, Indian_Ocean South_China_Sea, Rwandan, Jewish, English, Luo_Binwang, cytoplasm, Zhang_Chiyu, crust, Biosphere, nucleus, flowers nutrient_tissue, Fuzhou, Shashi, yellow, elder_brothers, Hanlian, Sichuan, Hubei, Shan_Tao, Fan_Chengda, Etiquette_of_Zhou, Laozi, Liu_Zongyuan, ocean-ridge_seismic_belt, Pacific_Plate, Austria, nobles, Qin_Huai_Gong, Xianbei, Ma_Zhiyuan, Mencius, Chu,
 Sichuan, propriety, Tengwang_Pavilion, Neptune, South_China_Sea, country, controller, Network_Layer, operator, blue, ROM, right_ventricle, democracy, assist_farmers_and_workers, Shandingdongman, English, wu, Oceania, Indian_Ocean, Jewish, Greek, Arabic, Wang_Bo, nucleus, Zhang_Chiyu, mantle Atmospheric, Biosphere, Protecting_tissue, fruits, Ningbo, Suzhou, red, mother, Weilian, Shanxi, Jiangxi, Ruan_Xian, Lu_You, Book_of_Rites, The_Doctrine_of_the_Mean, Su_Xun, Eurasian_seismic_belt, Indian_Ocean_Plate, Hungary, the_feudal_princes, Qin_Jinggong, Di, Zheng_Guangzu, Han_Feizi, Yan,
 Sichuan, justice, Penglai_Pavilion, Mercury, Yellow_Sea, township, controller, Data_Link_Layer, controller, red green, ROM, left_ventricle, nationalism, assist_farmers_and_workers, Shandingdongman, Arabic, wu, Asia, Arctic_Ocean, Greek, Jewish, Arabic, Wang_Bo, mechanical_tissue, Li_An, continental_crust, Biosphere, cell_membrane, stems, Xiamen, Hangzhou, green, younger_brothers, Weilian, Ningxia, Jiangsu, Wang_Rong, Yang_Wanli, Ritual_Records, Poetry, Su_Zhe, ocean-ridge_seismic_belt, Indian_Ocean_Plate, Serbia, high_ministers, Duke_Wen_of_Jin, Xianbei, Ma_Zhiyuan, Mencius, Han,
 Sichuan, wisdom, Yueyang_Tower, Earth, Yellow_Sea, township, memory, Representation_Layer, controller, green, RAM ROM, left_atrium, nationalism, alliance_with_Russia, Shandingdongman, English Greek, Shu, Antarctica, Indian_Ocean, Jewish, French, Jewish, Wang_Bo, conducting_tissue, Feng_Xiaoning, asthenosphere, Biosphere, nucleus, fruits, Fuzhou, Qingdao, red, wife, Hanlian, Inner_Mongolia, Anhui, Ruan_Xian, Fan_Chengda, Biography_of_Qiu_Zuo, The_Great_Learning, Wang_Anshi, circum-Pacific_seismic_belt, Eurasia_Plate, Bulgaria, nobles, Duck_Xiang_of_Song, Qiang, Cao_Xueqin, Mencius, Wei,
 Sichuan, justice, Yueyang_Tower, Mars, Yellow_Sea, township, memory, Application_Layer, operator, red, ROM, left_ventricle, nationalism, alliance_with_Russia, Pekingman, Arabic Mexican, Shu wu Chenghan, Asia, Atlantic, English, French, Greek, Wang_Wei, cell_membrane, Feng_Xiaogang, oceanic_crust, Crustal, cytoplasm, conducting_tissue, Nanjing, Dalian, purple, children, End, Shanxi, Hubei Hunan, Xiang_Xiu, Pu_Songling, Biography_of_Gongyang_in_the_Spring_and_Autumn_period, The_Great_Learning, Zeng_Gong, ocean-ridge_seismic_belt, Indian_Ocean_Plate, Romania, high_ministers, Duke_Huan_of_Qi, East_Lake, Yuan_Mei, Han_Feizi Liezi, Qin,
 Sichuan, propriety, Tengwang_Pavilion, Jupiter, East_China_Sea, country, memory, Representation_Layer, operator, blue, ROM, right_atrium right_ventricle, nationalism, alliance_with_Russia, Pekingman, English Korean, wu Qianzhao, Africa Massachusetts, Pacific, English, French English, Greek, Ou_Yangxiu, nucleus, Zhang_Chiyu, crust, Hydrosphere Crustal, cytoplasm, Protecting_tissue, Hangzhou, Shashi, black yellow, mother, Tail, Shaanxi, Hunan, Liu_Ling, Du_Kang, Biography_of_Guliang_in_the_Spring_and_Autumn_period, Mencius, Ou_Yangxiu, Eurasian_seismic_belt, Africa_Plate, Ukraine, the_feudal_princes, Qin_Jinggong, Qidan, Liu_Ying, Confucius, Qi,
 Qinghai, justice, Yellow_Crane_Tower, Saturn, Bohai_Sea, province, controller, Transport_Layer, operator, blue, ROM, right_ventricle, democracy, assist_farmers_and_workers, Pekingman, Arabic, Wei, South_America Alaska, Arctic_Ocean, English Mexican, English, Korean, Wang_Bo Li_Bai, nucleus, Zhang_Chiyu, crust, mantle, cell_membrane nucleus, flowers, Ningbo, Chongqing, green, younger_brothers, Hanlian, Henan, Chongqing, Shan_Tao, Du_Daoyuan, Book_of_Changes, The_Analects, Su_Shi, ocean-ridge_seismic_belt, Americas_Plate, Moldovan, the_emperor, Qin_Huan_Gong, East_Lake, Li_Guinian, Mozi, Yan,
 Qinghai, trust, Penglai_Pavilion, Neptune, Bohai_Sea, province, operator, Conversation_Layer, operator, green blue, RAM ROM, left_ventricle, nationalism, alliance_with_the_Communist_Party, Pekingman, English, wu Qianzhao, North_America Massachusetts, Atlantic, French, English, Italian, Wang_Bo, cell_membrane nucleus, Song_Yang, core, Hydrosphere Lithosphere, nucleus, stems, Shanghai, Chongqing, blue, father, Jinglian, Shandong, Sichuan, Wang_Rong, Yang_Wanli, Poetry, propriety, Liu_Zongyuan Su_Shi, circum-Pacific_seismic_belt, Antarctica_Plate, Croatia Serbia, the_emperor high_ministers, Qin_Huigong, Tubo, Bai_Piao, Zhuangzi, Chu,
--------------------mechanism chostrict--------------------
